Id,cap.shape,cap.color,stalk.color.above.ring,stalk.color.below.ring,bruises,population
6573,k,e,w,w,False,v
4426,f,e,p,w,True,y
7018,b,w,w,w,False,s
5789,k,g,w,w,False,n
6187,f,n,p,g,True,v
2508,x,w,w,w,False,s
488,x,w,w,w,False,a
3673,f,y,b,b,False,v
5364,f,y,b,b,False,v
2582,x,y,w,w,True,n
3096,f,y,p,p,False,y
1050,f,w,w,w,True,v
1895,f,g,b,p,False,y
6420,f,n,w,n,False,v
6480,f,y,n,n,False,y
7562,x,n,w,w,False,v
2110,k,n,w,n,False,v
743,x,e,g,g,True,y
3505,x,p,w,w,False,s
5119,x,g,p,p,True,y
1290,x,e,g,p,True,y
3230,x,n,g,w,True,y
5386,f,p,e,w,True,c
6378,f,e,p,w,False,v
2684,f,g,n,n,False,y
1216,x,w,w,w,False,s
655,b,y,y,y,False,c
3302,x,w,w,w,True,s
3699,x,e,e,e,True,c
6675,k,e,p,w,False,v
141,x,w,w,w,True,n
647,f,g,n,p,False,v
4507,x,y,p,n,False,v
6285,f,n,w,w,True,s
4858,f,n,w,w,True,s
2097,x,e,w,p,False,v
2676,x,e,p,w,False,v
4178,f,n,w,w,True,v
6701,b,y,w,w,True,n
2095,x,g,w,g,True,y
1561,x,y,w,w,True,s
2695,k,e,p,p,False,v
584,f,g,w,w,False,a
7442,x,g,g,g,True,y
7579,b,n,o,o,False,v
4536,f,n,w,p,True,v
5227,k,n,p,p,False,v
4230,x,u,w,w,False,y
4499,x,w,w,w,False,a
0,f,y,p,b,False,y
204,x,g,w,w,False,v
2160,x,n,o,o,False,c
4218,x,g,p,p,False,y
884,f,e,p,p,False,v
6250,x,e,w,p,False,v
1383,f,y,n,p,False,y
6925,f,n,w,w,True,v
3011,k,e,p,p,False,v
6009,f,n,g,w,True,y
5369,x,e,p,w,False,v
5626,x,n,w,w,True,s
175,f,e,w,p,True,v
4640,f,e,w,g,True,v
6202,f,n,p,g,True,y
330,x,e,p,w,False,v
2651,f,e,p,g,True,v
4369,x,w,w,w,True,s
8064,f,e,p,g,True,v
3787,x,b,w,w,True,v
394,x,n,p,w,True,y
914,f,y,n,n,False,v
7546,x,g,p,g,True,y
4707,f,n,g,p,True,v
2708,f,n,w,w,False,a
3738,x,w,w,w,True,v
4389,x,g,w,w,True,s
6688,f,n,w,w,True,s
4142,k,n,w,w,False,v
6764,x,n,w,w,False,s
5106,f,g,w,w,True,s
5560,k,e,p,w,False,v
3877,f,y,b,b,False,y
4655,f,e,p,w,False,v
1132,x,e,p,p,False,v
3984,f,g,p,p,False,y
3098,f,y,p,n,False,v
2797,b,y,w,w,True,n
5632,x,n,w,p,False,v
920,f,g,p,n,False,v
7296,f,g,w,w,False,s
3842,x,n,p,p,True,y
5113,x,g,w,w,False,s
4932,f,y,n,p,False,y
5679,f,g,b,p,False,y
7252,f,n,w,w,False,v
5424,f,n,p,p,False,v
5986,x,w,w,w,True,v
6085,x,g,w,p,True,v
5897,x,n,p,p,False,v
3518,x,y,b,n,False,v
232,x,w,w,w,True,v
4630,f,g,w,w,False,v
7600,f,g,p,b,False,v
4679,b,y,w,w,True,s
530,f,n,w,g,True,v
806,f,n,w,w,False,a
3111,f,w,w,w,False,a
6101,x,e,w,p,False,v
5395,x,w,w,w,False,a
6773,x,w,w,w,False,a
7670,x,w,w,w,False,s
4337,x,n,w,w,True,y
5180,x,y,n,n,False,v
2063,x,w,w,w,True,s
7761,f,n,g,p,True,y
4181,f,n,w,n,False,v
1372,f,g,b,n,False,y
7580,f,b,w,w,True,s
5956,x,g,w,w,False,s
2637,f,g,w,w,False,v
5410,x,y,w,w,True,s
7435,x,w,w,w,False,s
2336,f,y,w,w,True,s
4708,x,g,p,n,False,y
775,f,n,p,w,False,v
4991,f,w,w,w,True,s
1878,f,e,p,w,True,v
4592,x,w,w,w,False,a
1919,f,n,w,w,True,y
5415,f,g,b,b,False,v
6273,f,n,p,p,False,v
1890,x,g,w,w,True,v
4259,f,y,p,n,False,v
1933,b,y,w,w,True,s
2837,x,e,w,w,False,v
2659,x,g,p,p,True,v
3018,x,y,w,w,True,s
6806,f,n,o,o,False,c
1652,x,g,p,p,False,y
4653,f,w,w,w,True,s
4118,x,y,n,b,False,v
5642,f,g,p,b,False,v
7749,f,g,n,n,False,v
565,x,n,w,w,False,s
5907,f,y,b,p,False,v
7331,x,e,w,p,False,v
1422,x,y,w,w,True,y
2927,f,g,g,w,True,v
6541,f,g,w,w,False,y
4299,x,n,p,w,False,v
5570,x,g,w,w,False,s
1159,x,n,g,p,True,v
4479,f,g,p,g,True,v
5478,f,e,w,p,True,v
3692,f,g,b,n,False,v
1073,x,b,e,e,True,c
5932,f,n,w,w,False,a
1010,f,g,p,w,True,v
1166,k,n,w,p,False,v
3134,f,y,n,p,False,y
1845,x,y,w,w,True,v
386,f,y,p,n,False,v
7721,f,n,w,w,True,c
7257,x,y,p,b,False,y
218,x,y,w,w,True,s
2503,b,w,w,w,True,n
4691,f,n,p,p,False,v
6453,k,e,p,p,False,v
5025,f,g,g,p,True,y
2914,x,y,w,y,False,v
2482,f,n,p,p,False,v
4914,b,y,w,n,False,v
5610,x,g,g,w,True,y
1153,f,b,w,w,True,v
3689,k,n,w,p,False,v
3296,x,g,w,g,True,v
5916,f,e,w,w,False,v
2338,f,e,g,g,True,v
5837,k,n,p,p,False,v
5578,f,g,g,g,True,v
3939,k,e,p,p,False,v
3811,f,g,w,p,True,v
4049,x,n,p,g,True,v
3857,f,n,p,w,False,v
2653,f,n,p,w,False,v
7791,f,n,w,p,True,y
1967,x,e,p,w,False,v
5576,f,w,w,w,False,a
7910,x,n,w,w,True,y
3029,f,g,w,g,True,y
5107,b,n,o,o,False,v
887,k,e,w,p,False,v
2387,x,w,w,w,False,s
4155,x,g,w,w,False,v
452,x,w,w,w,False,a
170,f,g,w,w,False,s
1512,f,p,w,w,True,v
3397,f,w,w,w,False,s
1832,b,b,w,w,True,v
6231,b,w,w,w,True,n
3152,k,n,w,n,False,v
107,f,e,p,w,True,y
8117,f,n,p,w,False,v
2172,x,n,w,g,True,v
5502,x,g,w,w,False,a
3771,f,g,p,g,True,v
3203,f,g,b,n,False,v
2641,f,w,w,w,True,v
2772,f,b,w,w,True,v
7849,k,n,p,p,False,v
5340,f,y,n,n,False,v
6451,f,g,b,n,False,v
5218,b,p,w,w,True,v
2455,k,n,p,w,False,v
4505,k,n,w,w,False,v
5336,f,e,p,p,False,v
6309,f,g,w,w,True,y
4231,x,w,w,w,False,a
1984,f,y,p,n,False,y
5140,x,g,w,p,True,v
6931,f,g,w,p,True,v
4350,f,y,w,w,True,y
2870,f,y,b,p,False,y
2405,f,g,p,g,True,y
2716,x,g,w,p,True,y
8055,x,w,w,w,True,s
4297,k,e,p,w,False,v
4885,f,g,w,w,False,a
6002,f,n,p,p,False,v
7267,f,y,n,b,False,v
4012,f,n,w,w,False,s
2135,x,g,w,p,True,v
3532,f,w,w,w,False,a
6170,x,n,w,w,False,v
